Grupo1,Grupo1.,1,France
Grupo1,Grupo1.,1,India
Grupo1,Grupo2.,1,Iran
Grupo2,Grupo2.,1,Belgium
Grupo2,Grupo2.,1,Brazil
Grupo2,Grupo2.,1,Turkey
Grupo2,Grupo2.,1,Germany
Grupo3,Grupo2.,1,China
Grupo4,Grupo3.,1,Italy
Grupo5,Grupo4.,1,Spain
Grupo4,Grupo5.,1,UK
Grupo2,Grupo5.,1,USA
Grupo1.,Grupo1..,1,France
Grupo1.,Grupo1..,1,India
Grupo2.,Grupo2..,1,Belgium
Grupo2.,Grupo2..,1,Brazil
Grupo2.,Grupo2..,1,China
Grupo2.,Grupo2..,1,Germany
Grupo2.,Grupo2..,1,Iran
Grupo2.,Grupo2..,1,Turkey
Grupo3.,Grupo3..,1,Italy
Grupo4.,Grupo4..,1,Spain
Grupo5.,Grupo3..,1,UK
Grupo5.,Grupo5..,1,USA
Grupo1..,Grupo1...,1,France
Grupo1..,Grupo1...,1,India
Grupo2..,Grupo2...,1,Belgium
Grupo2..,Grupo2...,1,Brazil
Grupo2..,Grupo2...,1,China
Grupo2..,Grupo2...,1,Germany
Grupo2..,Grupo2...,1,Iran
Grupo2..,Grupo2...,1,Turkey
Grupo3..,Grupo3...,1,Italy
Grupo3..,Grupo4...,1,UK
Grupo4..,Grupo3...,1,Spain
Grupo5..,Grupo5...,1,USA
Grupo1...,Grupo1....,1,India
Grupo1...,Grupo2....,1,France
Grupo2...,Grupo1....,1,China
Grupo2...,Grupo2....,1,Belgium
Grupo2...,Grupo2....,1,Brazil
Grupo2...,Grupo2....,1,Germany
Grupo2...,Grupo2....,1,Iran
Grupo2...,Grupo2....,1,Turkey
Grupo3...,Grupo3....,1,Italy
Grupo3...,Grupo4....,1,Spain
Grupo4...,Grupo3....,1,UK
Grupo5...,Grupo5....,1,USA
Grupo1....,Grupo1.....,1,China
Grupo1....,Grupo1.....,1,India
Grupo2....,Grupo1.....,1,Iran
Grupo2....,Grupo1.....,1,Turkey
Grupo2....,Grupo2.....,1,Belgium
Grupo2....,Grupo2.....,1,Brazil
Grupo2....,Grupo2.....,1,Germany
Grupo2....,Grupo3.....,1,France
Grupo3....,Grupo4.....,1,Italy
Grupo3....,Grupo4.....,1,UK
Grupo4....,Grupo4.....,1,Spain
Grupo5....,Grupo5.....,1,USA